seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
62,2,20,6,5,0,7,1,4
62,3,20,14,9,0,6,0,14
62,4,7,16,9,0,7,2,4
62,5,7,13,9,0,4,11,8
62,6,12,13,9,0,12,4,7
63,1,20,3,1,0,3,0,3
63,2,20,7,4,0,4,0,4
63,3,20,10,8,7,6,5,8
63,4,20,9,8,1,7,5,4
63,5,20,16,9,0,8,1,9
63,6,20,11,11,0,4,9,4
64,1,20,3,3,0,0,0,3
64,2,20,5,5,0,8,2,4
64,3,20,13,8,15,10,0,9
64,4,20,9,8,2,6,8,5
64,5,20,12,9,0,9,5,10
64,6,20,12,11,0,7,4,4
65,1,20,3,3,0,0,0,3
65,2,20,6,5,0,7,1,4
65,3,20,12,9,0,9,2,12
65,4,15,14,9,0,7,2,4
65,5,15,14,9,0,4,8,8
65,6,15,12,11,0,12,6,4
66,1,20,3,2,0,0,0,3
66,2,20,6,4,0,11,1,4
66,3,20,9,7,5,4,5,8
66,4,20,12,10,0,11,1,4
66,5,20,9,10,0,4,11,8
66,6,20,12,11,0,11,1,6
67,1,20,3,2,0,0,0,3
67,2,20,5,4,0,9,2,4
67,3,20,13,7,15,4,0,9
67,4,20,12,10,2,6,5,4
67,5,20,14,11,0,7,6,9
67,6,20,10,11,0,9,8,5
68,1,20,3,3,0,0,0,3
68,2,20,7,4,0,11,0,4
68,3,20,15,8,0,4,0,15
68,4,20,9,8,0,4,10,4
68,5,20,16,9,0,9,1,9
68,6,20,12,11,0,7,8,6
69,1,20,3,1,0,0,0,3
69,2,20,7,4,0,6,0,4
69,3,20,15,7,25,15,0,12
69,4,18,16,9,3,10,3,4
69,5,19,21,9,0,14,3,11
69,6,9,20,10,0,4,5,4
70,1,20,3,3,0,0,0,3
70,2,20,5,5,0,11,2,4
70,3,20,12,8,0,7,1,12
70,4,18,13,8,0,7,3,8
70,5,18,14,8,0,9,7,9
70,6,19,14,9,0,9,4,4
71,1,20,3,3,0,0,0,3
71,2,20,5,5,0,9,2,4
71,3,20,12,8,0,9,1,12
71,4,16,13,8,0,7,3,4
71,5,17,14,8,0,7,7,9
71,6,17,10,10,0,6,8,6
72,1,20,3,2,0,3,0,3
72,2,20,6,4,0,8,1,4
72,3,20,13,7,19,4,1,8
72,4,20,12,10,0,6,5,4
72,5,20,14,10,0,7,6,9
72,6,20,15,12,0,4,3,8
73,1,20,3,2,0,0,0,3
73,2,20,7,4,0,4,0,4
73,3,20,12,8,0,11,3,12
73,4,20,9,8,0,4,7,4
73,5,20,17,10,0,4,0,9
73,6,20,13,11,0,7,8,4
74,1,20,3,1,0,5,0,3
74,2,20,7,4,0,4,0,4
74,3,20,12,7,14,12,3,8
74,4,20,10,10,2,4,6,5
74,5,20,10,10,0,10,8,8
74,6,20,12,11,0,6,2,4
75,1,20,3,2,0,0,0,3
75,2,20,7,4,0,9,0,4
75,3,20,15,10,22,4,0,9
75,4,20,9,10,12,6,10,7
75,5,15,14,11,0,7,3,10
75,6,12,13,11,0,7,5,4
76,1,20,3,3,0,0,0,3
76,2,20,5,5,0,9,2,4
76,3,20,10,8,0,7,3,10
76,4,20,8,8,0,7,6,4
76,5,20,15,9,0,9,1,9
76,6,20,9,10,0,4,10,4
77,1,20,3,2,0,3,0,3
77,2,20,6,4,0,6,1,4
77,3,20,14,8,23,8,0,11
77,4,20,13,8,1,10,5,4
77,5,20,17,10,0,6,4,13
77,6,4,19,10,0,4,2,4
78,1,20,3,2,0,2,0,3
78,2,20,7,4,0,7,0,4
78,3,20,12,7,0,4,3,12
78,4,16,13,10,0,12,3,6
78,5,16,12,10,0,4,9,11
78,6,17,8,10,0,11,8,4
79,1,20,3,3,0,0,0,3
79,2,20,5,5,0,4,2,4
79,3,20,13,9,0,9,0,13
79,4,20,12,9,0,4,5,8
79,5,18,11,10,0,4,9,9
79,6,18,6,10,0,6,9,4
80,1,20,3,3,0,0,0,3
80,2,20,5,5,0,9,2,4
80,3,20,11,8,11,6,2,10
80,4,20,10,8,2,12,5,4
80,5,20,16,8,0,6,2,10
80,6,20,16,11,0,4,4,4
81,1,20,3,3,0,0,0,3
81,2,20,6,5,0,9,1,4
81,3,20,11,8,0,7,3,11
81,4,18,13,9,0,11,2,4
81,5,19,15,11,0,9,6,10
81,6,20,10,11,0,8,9,5
82,1,20,3,3,0,0,0,3
82,2,20,7,6,0,6,0,4
82,3,20,12,9,14,9,3,8
82,4,20,8,10,0,4,8,4
